,X,Y,EQ
10,"[[1.21156037909423e-14, 0.298205176630411, 1.35524050034025, 0.806733289033864, 4.40495644896164], [2.54492465142815e-15, 0.507317896690831, 0.147303904329584, 0.973173798109204, 4.132775177797569], [1.12380062971919e-10, 0.122216727922764, 0.135267132912792, 0.538396685446422, 3.549114342605087], [3.33690041199957e-8, 1.42194647569564, 0.500135885174387, 0.353703529454000, 4.167183965063603], [2.24556126983644e-18, 0.898030429193205, 0.123236005444304, 0.280481594240347, 2.1295342687450862], [8.50364234175574e-12, 0.903578707980225, 0.114296549062541, 1.42063000966023, 5.46249748562836], [7.17538648931016e-10, 0.174705337041673, 1.27563648555346, 0.103801446487735, 1.3095196927343824], [4.36118592290150e-18, 0.198909312355927, 0.202430255077615, 0.214539664484825, 5.8369097286257725], [3.51296608561884e-16, 0.609052171907135, 0.311462119362660, 0.863178328441196, 6.024135350754542], [7.29786573662859e-8, 0.590252564293370, 0.449065852845862, 0.659402282564304, 3.125040299595754]]","[-9.01220140530462e-15, 9.85849656515296e-16, 1.04909795635481e-11, 4.24017736320135e-8, 2.08239725294943e-18, 6.67352349394398e-12, 2.17144621786821e-10, 7.85732331713894e-19, 1.89764670082876e-16, 4.34335209874431e-8]",q*(B*v*sin(theta) + Ef)
11,"[[0.0751661662079856, 1.59203958426751, 0.885896556287956, 0.507933931332339], [0.0377998106244333, 0.588068096140120, 0.208425615184950, 0.398065730680065], [0.0705110283088177, 0.252382672391020, 0.371740530076374, 0.268825605200039], [0.157188166604517, 0.269600171831544, 0.551252257904132, 0.866043645783936], [0.0307675520105212, 0.221359017560368, 1.26695998436276, 0.157986064895065], [0.0989622269112648, 1.14992785629281, 0.227543188978288, 1.02497866808516], [0.0469896751781524, 0.187091970494032, 0.846481441896323, 0.193959809784566], [0.0415542133795912, 0.537737946842426, 0.619946537064779, 0.147787919800633], [0.0267878526190894, 0.535399719962052, 1.19860766447652, 1.14712951816516], [0.0155984814355874, 0.141042139506085, 0.672022780049740, 0.346494416491789]]","[0.134449707399419, 0.0103518872979746, 0.00966548398084525, 0.0885436934891349, 0.0258316215330142, 0.119976422715308, 0.0185410602101238, 0.0144470926452513, 0.0407070796765645, 0.00461376471947275]",m*(u**2 + v**2 + w**2)/2
12,"[[146322.519341895, 13189.9242308218, 0.0235190648896328, 39311575.3686470], [131073683.546342, 478601854.112502, 2672449.18110911, 22.1361258698861], [2375633366.43712, 10963.0624113069, 39.6424314555155, 0.397127821040297], [118742760841173., 0.000778589345052447, 1163907809.18647, 0.164610849604486], [1538710240.35202, 3390673673745.01, 11.0564791612488, 13744.5177900108], [5507.04336207592, 0.00558159742349419, 1394.90471684925, 11.1130062212579], [170417.836972370, 36259523.5968955, 679.703107784234, 7797.69992006012], [67900387408357.2, 0.000128250401078200, 1022528526.86824, 15.4068387198776], [0.00964995059482314, 376157563.118967, 252740.170269922, 1.04104639868046], [453087134389.875, 0.00495426689587427, 2.08014548765948, 0.0660301572896593]]","[-5.47555140517387, 189094.592072442, 4332.14355872948, 37.4758577860416, -31460884444.1797, 1.83090609432677e-10, -0.553737069637294, 0.0377148062946193, 0.000232657712305703, 2.19636170061174]",G*m1*m2*(1/r2 - 1/r1)
13,"[[1.43445143483178, 0.130381611479814], [0.315791939468462, 0.108372909166708], [0.273139003818384, 0.114746991246892], [0.815390456454990, 0.294649152199796], [0.729539488747524, 0.209865189910283], [0.117954276687812, 0.170858522459820], [0.0127646292854890, 1.13642604440490], [0.108473523416993, 0.179477536157397], [7.90453982255644, 0.104279821935008], [0.0941065013953374, 0.277866291948060]]","[0.0121923814795084, 0.00185443881276250, 0.00179819315077135, 0.0353953344267605, 0.0160656990064954, 0.00172169805515710, 0.00824253058321809, 0.00174708465538525, 0.0429780946417287, 0.00363296625056982]",k_spring*x**2/2
14,"[[1.49008797316777, 175756.673238006, 1.82126277366511e-6], [2.25903303363620, 208074.521344623, 2.55507664294179e-6], [1.57781860899111, 523172.542812103, 1.31523565315877e-6], [6.42586671008878e-6, 4099529.98516062, 2.18800285284785e-17], [4.13952683968055e-6, 12210033.5953221, 2.82066622912965e-17], [1.28776128746341e-5, 9747662.24752373, 1.16847439595088e-16], [2.07475511807413e-6, 4531777.95790878, 7.98534163459461e-17], [1.05729705360329e-6, 14707937.0585545, 1.09474277867366e-16], [1.14372338943537e-6, 1709381.20026061, 5.92864906108848e-17], [4.09065587121478e-6, 1031151.45713251, 6.83249161899001e-17]]","[1.16998908804006, 1.72738710021742, 0.889724782728763, 6.42637788609560e-6, 4.14261973666451e-6, 1.28832858284285e-5, 2.07463028543316e-6, 1.05695968921096e-6, 1.14364063708604e-6, 4.09060961495104e-6]",(-t*u + x)/sqrt(1 - u**2/c**2)
15,"[[3858801.11379877, 318561.237769038], [281577.489827794, 241613.648113689], [3915769.13084273, 1944775.74532460], [2927009.60047962, 4885267.33216521], [178652.188356628, 4102814.78414881], [895089.086664821, 269617.664196607], [3900210.16492512, 161359.818304581], [3174013.84171732, 525609.043169388], [452127.843701244, 574633.026475654], [151742.799464180, 144320.243898903]]","[4177305.21684458, 523190.741902405, 5860048.34512971, 7811034.19454166, 4281432.05542667, 1164703.62342403, 4061541.54301308, 3699554.21289634, 1026757.90207720, 296062.971222768]",(u + v)/(1 + u*v/c**2)
16,"[[0.699037907157672, 0.302141038251797, 0.400631336407673, 0.165904700549947], [1.14861324987194, 0.106769234978818, 0.238568977954939, 0.594024623353689], [0.307715081901405, 0.252504315345169, 1.58770175435996, 0.287522601101423], [1.29195603526367, 0.967401574998766, 0.249176495141650, 0.147321861144037], [0.505408376683051, 1.22652849654666, 0.187731828483264, 1.15440974725227], [0.464964838658027, 0.103713345202622, 1.52585387649396, 0.107764169549530], [0.303421909371225, 0.156464776831787, 1.49426785570156, 0.998030721515604], [0.721518731113512, 0.762261553658313, 0.321385567941634, 0.833042942964364], [0.205741110736184, 0.842694280989079, 0.206980863117287, 0.415477103604034], [0.160150174434193, 0.202185985843016, 0.279829366565362, 1.52232190351177]]","[0.329794299943228, 0.268800184607976, 1.00167983413874, 0.205564836277798, 0.872316834252895, 1.26722811683117, 1.32543576121954, 0.584239003607506, 0.374562567104581, 0.973148460891760]",(m1*r1 + m2*r2)/(m1 + m2)
17,"[[0.957764500093094, 0.206921618539783, 0.9543650946718792], [0.737011637986084, 5.72433993606735, 1.7792472069458038], [0.178175792648172, 0.692225392998925, 0.027005245938467697], [0.283462845929961, 0.236347131989072, 0.17555466449448084], [0.832939899925258, 2.72794782508893, 4.024070071191638], [0.149875333631758, 0.276003382145117, 3.1627863924633166], [0.133013593437014, 1.19759717761182, 3.758552635400178], [0.758304100890210, 0.526561781640524, 4.2284074332155415], [1.44950880547681, 3.79304366855789, 5.859292576092734], [0.382229679853303, 0.285377262155693, 1.3583483685509885]]","[75401.8332409393, 69571.4540325890, 464.200225767052, 4776.79643637963, -62068.2408482059, -306.454871052880, -7425.13638011468, -64762.1465712669, -57524.5578078212, 36050.4200183467]",F*r*sin(theta)
18,"[[0.388967505756276, 0.221398415682096, 2.94771824140555, 2.668646260061759], [0.281594874972534, 0.264276116290112, 2.36122855660034, 4.688281900126149], [0.133984132575949, 0.713141649395531, 24.8064339583370, 2.1348949275197855], [0.252769290627105, 0.480033843076373, 2.07891059984076, 2.0123569214082115], [0.542553636796342, 1.54519327797565, 8.00334701205095, 1.4804515706745882], [0.753897317427749, 0.675268965360778, 56.9099646077373, 0.0986400945712776], [0.335001904996635, 0.216243718802715, 44.1170169194520, 0.013028586911077921], [0.481601990828054, 0.391758012662211, 2.06871294140546, 0.02557926892838868], [0.578395402993947, 0.328440759799387, 21.5489306347848, 3.9015437298394944], [0.278524622719128, 0.172123298125054, 60.0441089189830, 4.49463223989181]]","[0.115630628195641, -0.175668738108006, 2.00302626499588, 0.228056076687313, 6.68224395197745, 2.85316103306455, 0.0416372410580720, 0.00998268023129700, -2.82003794331355, -2.81057094114873]",m*r*v*sin(theta)
19,"[[0.846230200075063, 1.33717706127673, 0.242342901153229, 0.123109923766986], [0.124006342094721, 0.587255594042994, 1.23021316210509, 0.534773957405329], [0.220083410773617, 0.668927439570965, 0.202137852920341, 0.691427370036012], [0.608095546965178, 0.512950199804211, 0.825282231728308, 0.929862231964038], [0.148618789470174, 0.235016357109227, 0.203575131063223, 0.208433081290682], [0.726687224348703, 0.188514022229232, 0.901695228569274, 0.891423527797915], [0.562014791482866, 0.821315981479006, 0.292587857130754, 0.268262165788303], [0.665306364969917, 0.687447198782607, 0.219447026489870, 0.970547613268513], [0.942521656987529, 0.159171426816232, 1.21921587720483, 1.11327844839511], [0.729059111882357, 0.115931875575600, 0.351774492168304, 0.854481463587284]]","[0.00592145005117972, 0.0164755046542677, 0.0128448250043627, 0.124112931131659, 0.000156049920590978, 0.122505210432337, 0.00768627573235848, 0.0815862287121830, 0.441509313459098, 0.0182564457698476]",m*x**2*(omega**2 + omega_0**2)/4
20,"[[0.00396843390064401, 1.93583621304669e-12], [0.00795936474770392, 8.09802019542615e-12], [0.00754537725766681, 1.50657960518055e-8], [0.00160365708831382, 4.79186236230077e-9], [0.0117345495949820, 7.91344156683699e-9], [0.00345029094239116, 7.37688429000003e-12], [0.00235765854616552, 1.14049632121151e-12], [862102735.760867, 9.26372357307265], [1.15174648194959e-11, 38331.2750807397]]","[2049984329.20022, 982877858.491815, 500828.315458483, 334662.594011535, 1482862.98646068, 467716559.831135, 2067221526.55526, 93062225.8922736, 3.00471737379877e-16]",q/C
21,"[[3.3401514573975435, 1.3817695436588686], [2.271947912087573, 2.4008440336863375], [1.1557081107695542, 3.446312178473331], [2.6880042392660495, 2.2376828429720463], [2.0104912447884087, 0.4661160809839221], [2.3025322761507856, 5.900903553203294], [2.085870654507434, 4.018330692674549], [3.779843640115465, 6.066942529279437], [3.2827881642530254, 3.6573284676149043], [1.667330587070345, 1.708329400027879]]","[arcsin(3.28065524570006), arcsin(1.53320258967771), arcsin(-0.346742057573361), arcsin(2.11210280790205), arcsin(0.903555174683571), arcsin(-0.858933154766062), arcsin(-1.60331786983114), arcsin(-0.811008648672204), arcsin(-1.61898934584403), arcsin(1.65158636018168)]",arcsin(n*sin(theta2))
22,"[[0.941570993536397, 0.625932977108572, 3.3258105344312345], [0.221646393715148, 0.406417244078462, 3.5441751052772807], [1.30891501131581, 0.105473837451242, 1.634250129313993], [0.229497966022848, 0.616457874034915, 3.1976905280424184], [0.450857886614864, 0.464777163707106, 1.9277004812041276], [1.11783768943230, 0.186859273187022, 3.2346614179981077], [0.533786223713642, 0.226092950562131, 1.225717702039884], [0.360909162243277, 0.361601313735053, 2.0575933737286727], [0.289563073966139, 1.59179148656383, 1.7877950710471826], [0.281354491536238, 0.109272291835141, 2.8852772915058544]]","[0.156852409687142, 0.0755730852101217, 0.0615068319406171, 0.104771970486018, 0.157095028067701, 0.0549291615546688, 0.137085658234467, 0.118189244371013, 0.218502199270078, 0.0333792763719127]",1/(n/d2 + 1/d1)
23,"[[6051862652.12540], [8695727433.97457], [5291027342.98030], [11891409964.9706], [9041951838.76034], [3150552241.39020], [3989528440.64399], [9746151287.69118], [3277707827.81380], [2477593429.97840]]","[20.1868408981970, 29.0058245360348, 17.6489674832991, 39.6654740559572, 30.1607048392136, 10.5091110777383, 13.3076344457071, 32.5096613594301, 10.9332564590861, 8.26436210739630]",omega/c
24,"[[0.198945353718083, 0.287259706765425, 1.4600437499457617, 5.427439477901402], [0.904192523082997, 0.512113139232306, 0.05742035317816674, 4.516471439669352], [0.592462841535398, 0.176142631751857, 1.4386524986042475, 6.225737273549609], [0.143908877849609, 0.650586784933997, 1.260275985078178, 1.3538151328770542], [0.922344016314141, 0.179925521303983, 3.3217265576943795, 0.7942724925391959], [0.666832238401722, 0.205543853841552, 5.62625915930588, 5.3932768560430455], [0.164354055564920, 0.133573411421196, 5.777205928989904, 0.6262264572378933], [0.410023542682028, 0.239833089398226, 3.410102682645533, 1.896698950437829], [0.181763833252636, 1.07021012660649, 4.067866351546467, 0.31297871887501494], [0.302728802379427, 0.628721744648130, 3.391046149142099, 1.111221259281401]]","[0.446752309706702, 1.14539865115910, 0.605361657745413, 0.507485058873634, 1.07440630777391, 0.469247566269149, 0.161890523829667, 0.462987857792637, 1.22333011976512, 0.857196064813698]",sqrt(x1**2 - 2*x1*x2*cos(theta1 - theta2) + x2**2)
25,"[[0.00687258972437829, 3.9634251216401513, 25], [0.0120933458309815, 5.948328317738616, 41], [0.0138790181288759, 5.111306556952837, 82], [0.00285600907430172, -1.187571983352524, 77], [0.00643016898264417, -1.5986502625566636, 77], [0.00703394802530387, -2.2221971754965555, 35], [0.0139161672202994, -3.240665872716379, 37], [0.00103445185644995, 2.4115732668882472, 26], [0.00307920924571852, 1.2113299113100586, 47], [0.00243680691934571, 5.84840201818921, 31]]","[0.00357706534336391, 0.131334671173453, 0.0288666864899071, 0.00886698683778166, 0.0115094214000659, 0.00754420161612578, 0.000936303969432776, 5.07484305924089e-6, 0.000345653304004580, 0.0101560683272479]",Int_0*sin(n*theta/2)**2/sin(theta/2)**2
26,"[[2.56120310728004e-11, 2.65045132250826e-13, 12], [9.28900652511295e-11, 6.78749413259534e-13, 2], [1.22294544794690e-10, 1.62281835784668e-13, 8], [2.68191475402467e-11, 2.38218542512678e-13, 1], [6.37932675883741e-11, 2.65945870211948e-12, 5], [1.25647551884140e-10, 1.71069243634880e-13, 2], [2.80317020542418e-11, 1.26824309086998e-10, 1], [2.10836078300080e-11, 4.14416894009009e-13, 2], [1.35798584310382e-10, 3.32430412976763e-11, 10], [1.32617317826832e-10, 2.11476112616911e-12, 4]]","[arcsin(8.05272635874532), arcsin(68.4273632039304), arcsin(94.1991938002252), arcsin(112.582115805781), arcsin(4.79746254661021), arcsin(367.241794066485), arcsin(0.221027831777998), arcsin(25.437678983171), arcsin(0.408502288025839), arcsin(15.6775765576735)]",arcsin(lambd/(d*n))
27,"[[0.00169152449838510, 0.970933347969143], [0.00409737004457663, 0.117588664615492], [0.00395892044096300, 1.19385267795296], [0.0131922264675154, 0.418563811821169], [0.00313574129371093, 0.145702692423410], [0.00352692970596350, 0.795388617916301], [0.00136214370536243, 0.685207872763254], [0.00255019068769409, 1.05486129134573], [0.00110283844396369, 0.763983960251575], [0.00832212332694551, 1.23694636223378]]","[5.99823473630349e-22, 5.16213467547549e-23, 4.96755932257204e-21, 6.78027937534370e-21, 4.64198403448044e-23, 1.75000943302469e-21, 1.93721838441541e-22, 1.60925201249366e-21, 1.57862985879859e-22, 2.35644912591592e-20]",a**2*q**2/(6*pi*c**3*epsilon0)
28,"[[46.3769218478987, 0.0123039423385181, 1864750916.79984, 1015907087.18392], [81.5137092732872, 0.0696176538376894, 2814641947.44344, 11513461921.1754], [25.2918325700624, 0.0797155109929571, 2746957378.95213, 1120070428.88132], [63.7683274552420, 0.151037106195360, 15363735115.4474, 12546414060.0870], [43.4407948531557, 0.0443332136269087, 7029387294.19089, 8003477765.56309], [12.8369148793799, 0.0849798906441337, 6667400238.59828, 3834326975.15332], [75.6681587603508, 0.100666351158367, 2204022271.13392, 1176392833.93875], [13.1392275010823, 0.0114335216583077, 9470541130.74938, 2162165131.63716], [37.6737447516147, 0.0138220962703149, 1717756073.43396, 6809470188.42628], [22.0098338394341, 0.149738169575705, 5577586716.98327, 2050394323.31483]]","[0.00732141087005501, 0.00144661384042099, 0.0650193540497634, 9.29449190589220, 0.469569386872744, 0.0295393359970399, 1.26154807069515, 0.000279288873210881, 1.39246993290903e-5, 0.161459806038650]",4*pi*Ef**2*c*epsilon0*omega**4*r**2/(3*(omega**2 - omega_0**2)**2)
29,"[[3.60084950010091e-11, 139163.320746161, 66.4148443421852, 12413039460.5100], [1.07707787523155e-11, 1084573.51015017, 16.4884174473957, 10926208606.8510], [1.41543010634845e-11, 879090.966095771, 25.4558655908910, 2541357996.91690], [1.08529638377199e-5, 1.05010768072999e-11, 0.109144676045644, 0.00178787020722995], [2.87774323206047e-6, 3.65291019509690e-11, 0.119084451822180, 0.00179484624069396], [7.26152117291157e-6, 9.64496371738880e-11, 0.104582625080216, 0.0151175912936088], [0.38234271718554735, 5.51955041444148e-11, 4.92624773047891e-9, 3.54298091213595e-30], [0.0029136101343207876, 1.27828876336114e-11, 5.54713471392159e-9, 7.25876919832102e-30], [0.5947284829002133, 3.52403350558869e-11, 5.91929250047999e-10, 2.89700391271931e-30], [0.11823729799203342, 1.25991617275318e-11, 1.29780194973396e-9, 7.74399222698246e-30], [1.41387773045783, 0.00219520306733663, 0.000615486895185903, 0.107547814075530], [0.354401991253595, 0.00587390820032661, 0.00131417833388409, 0.0206708626664021], [1.25257687380056, 0.0140560303185748, 0.00136744846255655, 0.0170756611117039]]","[2.68112323714833e-14, 1.76285090981713e-14, 1.24636219512544e-13, 6.95742862519807e-15, 6.97459266511370e-15, 4.84512677391128e-15, 29342962722.5212, 28462047.2749996, 4282323642.13125, 249654650.922006, 1.77624871889887e-5, 0.000132348495770020, 0.00140993961987836]",B*q*v/p
30,"[[2839346069.27641], [2063296499.82017], [14502675216.1111], [2959352785.18052], [8510125780.25552], [10], [6], [10], [2], [8]]","[2.99429434520330e-25, 2.17589434015831e-25, 1.52941125633861e-24, 3.12085004572403e-25, 8.97453881248148e-25, 1.05457181764616e-33, 6.32743090587694e-34, 1.05457181764616e-33, 2.10914363529231e-34, 8.43657454116925e-34]",h*omega/(2*pi)
31,"[[0.00311307077790928, 0.00340254538589107, 1.9829815510311468], [0.00835804325944255, 0.00195482395184809, 0.8187710944037817], [0.00274476798365586, 0.00810293062328997, 0.33818959542492816], [0.00549500590106591, 0.00290165135794723, 1.8490036867241517], [0.00955860045100499, 0.00201133462014734, 0.2940244910300887], [0.00851191104002452, 0.00179269827127173, 2.600551818020052], [0.00379221145176341, 0.00213520763124035, 0.9583084069238589], [0.00208857477216328, 0.0150684150042942, 0.9558024133205598], [0.00357339988389918, 0.00934418474045203, 2.230520698656912], [0.00856244781591518, 0.00880832091811322, 0.7277316460965325]]","[0.00390795630897766, 0.0158353277526185, 0.0197454422844793, 0.00620340578004374, 0.0199629880246957, 0.00360783504872611, 0.00919926119401114, 0.0236303480876703, 0.00583436861993954, 0.0303399649491938]",I1 + I2 + 2*sqrt(I1*I2)*cos(delta)
