Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
p679,11,P,m*(p-q)+q,3,m,F,u,0,1.0,p,F,u,0,1.0,q,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p681,12,W,(p**2)*Wa+2*p*q*Wb+(q**2)*Wc,5,p,F,u,0,1.0,Wa,F,u,0,1.0,q,F,u,0,1.0,Wb,F,u,0.0,1.0,Wc,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
p688,13,F,n*lg(0.5)+lg(1+f),2,n,I,ulog,1,10.0,f,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p688',14,f,(p**2)+p*q*f,3,p,F,u,0,1.0,q,F,u,0,1.0,f,AF,u,-1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p702,15,X,(f1*x1+f2*x2+f3*x3)/(f1+f2+f3),6,f1,I,ulog,1,1000.0,x1,I,ulog,1,100.0,f2,I,ulog,1,1000.0,x2,I,ulog,1.0,100.0,f3,I,ulog,1.0,1000.0,x3,I,ulog,1.0,100.0,,,,,,,,,,,,,,,,,,,,
p702',16,X,(f1*((x1-x)**2)+f2*((x2-x)**2)+f3*((x3-x)**2))/(f1+f2+f3-1),7,f1,I,ulog,1,1000.0,x1,I,ulog,1,100.0,x,I,ulog,1,100.0,f2,I,ulog,1.0,1000.0,x2,I,ulog,1.0,100.0,f3,I,ulog,1.0,1000.0,x3,I,ulog,1.0,100.0,,,,,,,,,,,,,,,
p703,17,SD,sqrt(V),1,V,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p703',18,C,(f1*(x1-x)*(y1-y)+f2*(x2-x)*(y2-y))/(f1+f2+f3-1),8,f1,I,ulog,1,1000.0,x1,I,ulog,1,100.0,x,I,ulog,1,100.0,y1,I,ulog,1.0,100.0,y,I,ulog,1.0,100.0,f2,I,ulog,1.0,1000.0,x2,I,ulog,1.0,100.0,y2,I,ulog,1.0,100.0,,,,,,,,,,
p715,19,h,sqrt(Vg/Vt),2,Vg,F,ulog,1e-2,100.0,Vt,F,ulog,Vg,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p721,20,h,sqrt((x1-x)/(x2-x)),3,x1,F,ulog,1e-2,100.0,x,F,ulog,1e-2,100.0,x2,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p725,21,n,(D**2)/(8*V),2,D,F,ulog,1e-2,100.0,V,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p105,22,f,(q**2)*(1-s)/(1-s*(q**2)),2,q,F,u,0,1.0,s,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,23,P,s*p*(q**2)/(1-s*(q**2)),3,s,F,u,0,1.0,p,F,u,0,1.0,q,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.13,24,q,qm+(q0-qm)*((1-m)**5),3,qm,F,u,0,1.0,q0,F,u,qm,1.0,m,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2,25,F,0.5/Nn+(1-0.5/Nn)*f,2,Nn,I,ulog,1,1000.0,f,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,26,F,((1-u)**2)/(2*Nn-(2*Nn-1)*((1-u)**2)),2,u,F,u,0,1.0,Nn,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p201,27,A,p*q+(1-r)*D,4,p,F,u,0,1.0,q,F,u,0,1.0,r,F,u,0,1.0,D,AF,u,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p365,28,G,(H-h)/H,2,h,F,u,0,1.0,H,F,u,h,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p404,29,I,(Hs-Ho)/(Hs+Ho),2,Hs,I,ulog,1,100.0,Ho,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p448,30,n,(p**2)*((1-p)**3),1,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p453,31,Nn,(2*x1-5)*(2*x2-5)*(2*x3-5)*(2*x4-5)*(2*x5-5),5,x1,I,ulog,3,100.0,x2,I,ulog,3,100.0,x3,I,ulog,3,100.0,x4,I,ulog,3.0,100.0,x5,I,ulog,3.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
p528,32,t,1/lamda*ln(n+Nn/n),3,lamda,F,u,0,1.0,n,I,ulog,1,1000.0,Nn,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p591,33,r,(ln(x2)-ln(x1))/t,3,t,F,ulog,1e-2,10.0,x2,F,ulog,1e-2,100.0,x1,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1.1,34,Nn,n*exp(r*t),3,n,I,ulog,1,100.0,r,NF,u,-1,0.0,t,F,ulog,1e-2,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,35,d,r*Nn*(1-Nn/K),3,r,F,u,0,1.0,Nn,F,ulog,1e-2,100.0,K,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,36,Nn,n/(n/K+(1-n/K)*exp(-r*t)),4,n,F,ulog,1e-2,100.0,K,F,ulog,1e-2,100.0,r,F,u,0,1.0,t,F,ulog,1e-2,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13,37,T,sqrt(a*b)*t,3,a,F,u,0,1.0,b,F,u,0,1.0,t,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,38,F,((A**3)-((-B)**3))/sqrt(5),2,A,F,u,0,5.0,B,F,u,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2a,39,F,((1.61803**n)-((-0.61803)**n))/sqrt(5),1,n,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4,40,x,a0+1/(a1+1/(a2+1/a3)),4,a0,AI,u,-1000,1000.0,a1,I,ulog,1,1000.0,a2,I,ulog,1,1000.0,a3,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.20,41,l,exp(-d*a),2,d,F,u,0,1.0,a,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.26,42,r,m/B*ln(1+p/m),3,m,F,u,0,1.0,B,I,ulog,1,1000.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9',43,a,sqrt((1-exp(-b*t))/Nn),3,b,F,u,0,1.0,t,F,ulog,1,1000.0,Nn,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.24',44,f,n*(n-1)*0.5*(x**5),2,n,I,ulog,1,1000.0,x,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.31,45,a,1/Nn*(exp(2*b*t)-exp(b*t)),3,Nn,F,u,0,1.0,b,F,u,0,1.0,t,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.33,46,t,-ln(1-y)/(b*Nn),3,y,F,u,0,1.0,b,F,u,0,1.0,Nn,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,47,d,i*(B*Nn-y-B*i),4,i,I,ulog,1,1000.0,B,F,u,0,0.001,Nn,I,ulog,i,1000.0,y,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.9,48,f,R+exp(-R*r),2,R,F,u,0,1.0,r,F,ulog,1e-1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,49,P,(1+s)*p/(1+s*p),2,s,F,ulog,0.1,10.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,50,P,(p-p*u)/(1-s+s*p),3,p,F,u,0,1.0,u,F,u,0,1.0,s,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.8,51,Q,(q-s*q-u*q+u)/(1-s*q),3,q,F,u,0,1.0,s,F,u,0,1.0,u,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.10,52,P,((1+s*h)*p+s*(1-h)*(p**2))/(1+2*s*h*p+s*(1-2*h)*(p**2)),3,p,F,u,0,1.0,s,F,ulog,0.1,10.0,h,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.12,53,d,s*p*(h+(1-3*h)*p-(1-2*h)*(p**2)),3,s,F,ulog,0.1,10.0,p,F,u,0,1.0,h,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.14,54,Q,(u+(1-u-s*h*(1+u))*q-s*(1-h*(1+u))*(q**2))/(1-2*s*h*q-s*(1-2*h)*(q**2)),4,u,F,u,0,1.0,s,F,u,0,1.0,h,F,u,0,1.0,q,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.15,55,f,(s+t)*(p**3)-(s+2*t)*(p**2)+t*p,3,s,F,u,0,1.0,t,F,u,0,1.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.21',56,P,(1-r)*p1+r*p2*p3,4,r,F,u,0,1.0,p1,F,u,0,1.0,p2,F,u,0,1.0,p3,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.22,57,p,((s1**2)+((1-s1)**2))*p1+s2*(1-s2)*p2+s3*(1-s3)*p3,6,s1,F,u,0,1.0,p1,F,u,0,1.0,s2,F,u,0,1.0,p2,F,u,0.0,1.0,s3,F,u,0.0,1.0,p3,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,
5.27,58,V,x*(1-x)/Nn,2,x,F,u,0,1.0,Nn,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.35',59,P,0.5*(1-exp(-t))*x+exp(-t),2,t,F,ulog,1,1000.0,x,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3',60,C,R-0.5*k*(sqrt(1+4*R/k)-1),2,R,F,ulog,1,1000.0,k,F,u,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4',61,C,k1*e*s/(k0+k2+k1*s),5,k1,F,u,0,1.0,e,F,u,0.1,10.0,s,F,ulog,0.1,10.0,k0,F,u,0.0,1.0,k2,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6.19',62,d,k1*e*s+(k0+k2+k1*s)*C1+(k_+k4)*C2,9,k1,F,u,0,1.0,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k0,F,u,0.0,1.0,k2,F,u,0.0,1.0,C1,F,ulog,0.1,10.0,k_,F,u,0.0,1.0,k4,F,u,0.0,1.0,C2,F,ulog,0.1,10.0,,,,,
6.25,63,C,k2*e*s/(k1*k2+k2*s+(s**2)),4,k2,F,ulog,1,1000.0,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k1,F,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.26,64,C,e*(s**2)/(k1*k2+k2*s+(s**2)),4,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k1,F,ulog,1,1000.0,k2,F,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p98,65,d,V*(s**4)/((K**4)+(s**4)),3,V,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,K,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p98a,65,d,V*(s**n)/((K**n)+(s**n)),4,V,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,K,F,ulog,0.1,10.0,n,I,ulog,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
