Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
7.112,42,C,3*k*NA*(x**2)*(exp(x)/(exp(x)-1)),1,x,1e-8,1e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.113,43,q,g1*exp(-e1/(k*T))*g2*exp(-e2/(k*T)),4,g1,0,7,e1,1e-19,1e-16,g2,0,7,e2,1e-19,1e-16,,,,,,,,,,,,,,,,,,
7.123,44,G,-Nn*k*T*ln(17.293/Nn),2,Nn,1,100,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
2.1,45,Wv,Wa+Wa*(0.0012/Do-0.0012/Dw),3,Wa,0,1e6,Do,0,10,Dw,7,9,,,,,,,,,,,,,,,,,,,,,
3.13,46,t,abs((x-u)*sqrt(Nn)/s),4,x,-100,100,u,-100,100,Nn,0,1000,s,0,1e4,,,,,,,,,,,,,,,,,,
3.14,47,t,abs((x1-x2)/s*sqrt(n1*n2/(n2+n1))),5,x1,-100,100,x2,-100,100,s,0,1e4,n1,0,50,n2,0,50,,,,,,,,,,,,,,,
3.23,48,m,(x1*y1+x2*y2-(x1+x2)*(y1+y2)/2)/((x1**2)+(x2**2)-((x1+x2)**2)/2),4,x1,-100,100,y1,-100,100,x2,-100,100,y2,-100,100,,,,,,,,,,,,,,,,,,
3.39,49,S,s/sqrt(n)*sqrt(1-n/Nn),3,s,-100,100,n,0,100,Nn,n,100,,,,,,,,,,,,,,,,,,,,,
4.1,50,R,(s-y)/c,3,s,0,1000,y,0,1000,c,0,1,,,,,,,,,,,,,,,,,,,,,
5.1,51,M,g/f,2,g,0,1e4,f,1,1e3,,,,,,,,,,,,,,,,,,,,,,,,
ex5.8,52,x,L*w1*M/(1000*r*w2),5,L,0,1e4,w1,0,10,M,0,10,r,0.1,10,w2,0,1,,,,,,,,,,,,,,,
5.27,53,M,m1*(t/a)*m2/L,5,m1,0,1e5,t,0,10,a,0,10,m2,0,1e5,L,0,1e4,,,,,,,,,,,,,,,
6.5,54,K,(C**c)*(D**d)/((A**a)*(B**b)),8,C,1e-2,1e6,c,0,5,D,1e-2,1e6,d,0,5,A,1e-2,1e6,a,0,5,B,1e-2,1e6,b,0,5,,,,,,
ex6.1,55,K,(x**2)/((a-x)*(b-x)),3,x,1e-2,1e6,a,1e-2,1e6,b,1e-2,1e6,,,,,,,,,,,,,,,,,,,,,
6.20,56,f,exp(0.51*(z**2)*sqrt(u)/(1+sqrt(u))),2,z,0,7,u,0,1000,,,,,,,,,,,,,,,,,,,,,,,,
6.21,57,f,0.51*(z**2)*(sqrt(u)/(1+sqrt(u))-0.3*sqrt(u)),2,z,0,7,u,0,1000,,,,,,,,,,,,,,,,,,,,,,,,
7.7,58,K,a1*a2/(a3**2),3,a1,1e-2,1e6,a2,1e-2,1e6,a3,1e-2,1e6,,,,,,,,,,,,,,,,,,,,,
7.15,59,pH,-lg(H),1,H,1e-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.32,60,OH,sqrt(Kw*C/Ka),3,Kw,1e-14,1e5,C,0,10,Ka,1e-14,1e5,,,,,,,,,,,,,,,,,,,,,
7.48,61,pH,pK+lg(A/H),3,pK,0,14,A,0,10,H,0,10,,,,,,,,,,,,,,,,,,,,,
7.74,62,a,(H**3)/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,1e-14,1,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,,,,,,,,,,,,,,,,,,
7.75,63,a,(H**2)*k1/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,1e-14,1,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,,,,,,,,,,,,,,,,,,
7.76,64,a,H*k1*k2/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,1e-14,1,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,,,,,,,,,,,,,,,,,,
7.77,65,a,k1*k2*k3/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,1e-14,1,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,,,,,,,,,,,,,,,,,,
7.82,66,Q,(H**4)+k1*(H**3)+k1*k2*(H**2)+k1*k2*k3*H+k1*k2*k3*k4,5,H,1e-14,1,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,k4,1e-14,1e5,,,,,,,,,,,,,,,
7.96,67,f,sqrt((k1*k+k1*k2*H)/(k1+H)),4,k1,1e-14,1e5,k,1e-14,1e5,k2,1e-14,1e5,H,0,10,,,,,,,,,,,,,,,,,,
7.107,68,pH,pK+lg((a2/a1-e1)/(e2-e3*(a2/a1))),6,pK,0,14,A2,0,1,A1,0,1,e1,0,100,e2,0,100,e3,0,100,,,,,,,,,,,,
8.19,69,h,C*ka/((ka+H)*(1+f))+kw/H-f*C/(1+f),5,C,0,10,ka,1e-14,1e5,H,1e-14,1,f,0,7,kw,1e-14,1e5,,,,,,,,,,,,,,,
p326,70,h,sqrt(k1*k2*H/(k1+H)),3,k1,1e-14,1e5,k2,1e-14,1e5,H,1e-14,1,,,,,,,,,,,,,,,,,,,,,
9.12b,71,a,k1*k2*k3*k4/((H**4)+k1*(H**3)+k1*k2*(H**2)+k1*k2*k3*H+k1*k2*k3*k4),5,k1,1e-14,1e5,k2,1e-14,1e5,k3,1e-14,1e5,k4,1e-14,1e5,H,1e-14,1,,,,,,,,,,,,,,,
9.15,72,v,V*(Cm-M)*(1+Kf*M)/(Cl*(Kf+M)+M*(1+Kf*M)),5,V,0,1e4,Cm,0,10,M,0,10,Kf,1e-14,1e5,Cl,0,10,,,,,,,,,,,,,,,
11.12,73,K,(Cx*Vx-p)*(Cy*Vy-p)/((Vx+Vy)**2),5,Cx,0,10,Vx,0,1e4,p,1e-2,1e6,Cy,0,10,Vy,0,1e4,,,,,,,,,,,,,,,
12.22,74,e,e-2.3026*k*NA*T/(n*F)*lg((Cw**3)/(Co**5)),5,e,1e-5,100,T,250,1000,n,0,7,Cw,0,10,Co,0,10,,,,,,,,,,,,,,,
12.29,75,e,e-0.05916*pH-0.02958*lg(c/C),4,e,1e-5,100,pH,0,14,c,0,10,C,0,10,,,,,,,,,,,,,,,,,,
13.20,76,e,e-2.3026*k*NA*T/F*lg(sqrt(Cw)/Co),4,e,1e-5,100,T,250,1000,Cw,0,10,Co,0,10,,,,,,,,,,,,,,,,,,
13.24,77,e,e1-e2-2.3026*k*NA*T/F*lg(c1*c2/sqrt(p)),6,e1,1e-5,100,e2,1e-5,100,T,250,1000,c1,0,10,c2,0,10,p,0,100,,,,,,,,,,,,
13.44,78,e,k+s/z*lg(a),4,k,-1000,1000,s,0,500,z,-7,7,a,0,10,,,,,,,,,,,,,,,,,,
13.46,79,e,k+s/z*lg(a+Kab*sqrt(b)),6,k,-1000,1000,s,0,500,z,-7,7,a,0,10,Kab,0,1000,b,0,10,,,,,,,,,,,,
14.23,80,n,lg((c1*v1-c2*v2)/(v1+v2)),4,c1,0,10,v1,0,10,c2,0,10,v2,0,10,,,,,,,,,,,,,,,,,,
16.20,81,Nn,sqrt((n1**2)-(n2**2)),2,n2,1,4,n1,n2,4,,,,,,,,,,,,,,,,,,,,,,,,
16.21,82,theta,arccos(n2/n1),2,n2,1,4,n1,1,4,,,,,,,,,,,,,,,,,,,,,,,,
sec16.14,83,n,((n1+n2)**2)/((n1-n2)**2),2,n1,1,4,n2,1,4,,,,,,,,,,,,,,,,,,,,,,,,
17.1,84,n,ge/g*exp(-(e1-e)/(k*T)),5,ge,2,7,g,2,7,e,-10,-1e-5,e1,e,0,T,250,1000,,,,,,,,,,,,,,,
17.7,85,C,a*v*c/(a1*(v+V)-V*a),5,a,0,10,v,0,10,c,0,10,a1,0,10,V,0,10,,,,,,,,,,,,,,,
18.10,86,e,100*D/(D+Va/V),3,D,0,100,Va,0,1e4,V,0,1e4,,,,,,,,,,,,,,,,,,,,,
19.11,87,Nn,41.7*((t/w)**2)/(B/A+1.25),4,t,0,100,w,0,10,B,0,50,A,0,50,,,,,,,,,,,,,,,,,,
19.33,88,R,0.25*sqrt(Nn)*(k2/k1-1)/(k2/k1)*k2/((k2+k1)/2+1),3,Nn,16,1600,k2,0,10,k1,0,10,,,,,,,,,,,,,,,,,,,,,
20.1,89,I,100*(n+(lg(tu)-lg(t1))/(lg(t2)-lg(t1))),4,n,0,100,t1,0,100,tu,t1,100,t2,tu,100,,,,,,,,,,,,,,,,,,
21.4,90,nR,n*(1-tan(theta)),2,n,1,4,theta,-1.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,
21.10,91,P,8*F*n*L/(pi*(r**4)),4,F,0,10,n,1,1e6,L,0,1,r,0,1e-3,,,,,,,,,,,,,,,,,,
22.5,92,t,L*(sqrt(m1)-sqrt(m2))/sqrt(2*V*q),5,L,1e-3,1,m1,1e-23,100e-23,m2,1e-23,100e-23,v,0,220,q,1.6e-19,1e-16,,,,,,,,,,,,,,,
22.6,93,t,2*pi*m/(q*B),3,m,1e-23,100e-23,q,1.6e-19,1e-16,B,1e-2,10,,,,,,,,,,,,,,,,,,,,,
22.7',94,K,3/16*sqrt(2*pi/(u*k*T))*q/(n*R),5,u,1e-23,100e-23,T,250,1000,q,1.6e-19,1e-16,n,1e22,1e23,R,1e-34,1e-27,,,,,,,,,,,,,,,
23.3,95,A,a/exp(k*t/2.303),2,a,0,10,t,0,100,,,,,,,,,,,,,,,,,,,,,,,,
23.8,96,kt,2.303/(B0-A0)*lg(A0*B/(B0*A)),4,B0,0,10,A0,0,10,B,0,10,A,0,10,,,,,,,,,,,,,,,,,,
23.14,97,v,vm*s/(s+K),3,vm,0,1000,s,0,10,K,1e-5,1e-2,,,,,,,,,,,,,,,,,,,,,
