Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
12.26,65,kSCT,pi*d**2*sqrt(8*k*T/(pi*M))*exp(-epsilon/(k*T)),4,d,F,ulog,1e-10,1e-07,T,F,ulog,10,1000,M,F,ulog,1,100.0,epsilon,F,ulog,50,5e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.74',66,kd,2*k*T/(3*yi)*(ra+rb)**2/(ra*rb),4,T,F,ulog,10.0,1000.0,yi,F,ulog,1e-3,10,ra,F,ulog,1e-10,1e-07,rb,F,ulog,1e-10,1e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.80,67,lgk,lg(G)+a*lg(K),3,G,F,u,0.0,1000.0,a,I,u,1,7,K,F,ulog,1e-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.87,68,K,(1/r-1/rm)*rm*s,3,r,F,ulog,0.01,1.0,rm,F,ulog,r,1,s,F,ulog,0.01,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.12,69,y,k*(Tc-T)*V**(3/2),4,k,F,u,1e-07,3e-07,T,F,ulog,10,1000,Tc,F,ulog,T,1000.0,V,F,ulog,0.01,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.14,70,deltay,b*y0*lg(1+c/K),4,b,F,ulog,0.1,1000.0,y0,F,ulog,1e-3,1,c,F,ulog,0.01,10.0,K,F,ulog,0.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.18,71,y,0.5*R*r*g*h/cos(theta),4,R,F,ulog,0.0001,0.01,r,F,ulog,100,1e4,h,F,ulog,0.01,1.0,theta,F,u,0,pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.55,72,theta,sqrt(a*p)/(1+sqrt(a*p)),2,a,F,ulog,0.01,1000.0,p,F,ulog,1,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.62,73,q,k*(p**(1/n)),3,k,F,ulog,0.1,1000.0,p,F,ulog,1e4,1e6,n,I,u,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.65,74,V,Vm*C*p/((ps-p)*(1+(C-1)*p/ps)),4,Vm,F,ulog,0.01,1.0,C,F,ulog,0.1,1000,ps,F,ulog,1e-3,1000000.0,p,F,ulog,1,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.79,75,r,k*a1*a2*p1*p2/((1+a1*p1+a2*p2)**2),5,k,F,ulog,1e-14,100000.0,a1,F,ulog,0.01,1000,a2,F,ulog,0.01,1000.0,p1,F,ulog,1,1e6,p2,F,ulog,1,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
13.82',76,r,sigma*p/sqrt(2*pi*m*k*T)*(1-theta)*exp(-(E+b*theta)/(k*NA*T)),7,sigma,F,ulog,0.001,10.0,p,F,ulog,1,1e6,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000,theta,F,u,0,1.0,E,F,ulog,1e4,100000.0,b,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,
14.2,77,s2,s1*exp(M/(NA*T*k)*2*y/r*(1/R2-1/R1)),7,s1,F,ulog,0.001,100.0,M,F,ulog,1,100,T,F,ulog,10,1000.0,y,F,ulog,1e-3,0.1,r,F,ulog,100,10000.0,R2,F,ulog,1e-9,1e-07,R1,F,ulog,1e-09,10000000.0,,,,,,,,,,,,,,,
14.3,78,x,sqrt(k*T*t/(3*pi*yi*r)),4,T,F,ulog,10.0,1000.0,t,F,ulog,1,1000,yi,F,ulog,1e-3,10.0,r,F,ulog,1e-9,1e-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.10,79,n,exp(-4/3*pi*r**3*(r1-r2)*g*x/(k*T)),5,r,F,ulog,1e-09,1e-07,r1,F,ulog,100,1e4,r2,F,ulog,100,10000.0,x,F,ulog,1e-4,1,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,
14.12,80,n,exp(-2/3*pi*r**3*(r1-r2)*w**2*(x2**2-x1**2)/(k*T)),7,r,F,ulog,1e-09,1e-07,r1,F,ulog,100,1e4,r2,F,ulog,100,10000.0,w,F,ulog,1e9,1e11,T,F,ulog,10,1000.0,x2,F,ulog,1e-4,1.0,x1,F,ulog,0.0001,1.0,,,,,,,,,,,,,,,
14.14,81,I,24*pi**2*A**2*v*V**2/lamda**4*((n1**2-n2**2)/n1**2+2*n2**2)**2,6,A,F,ulog,0.0001,10000.0,v,I,ulog,1e23,1e25,V,F,ulog,4e-27,4e-21,lamda,F,ulog,4e-7,8e-7,n1,F,u,1,4.0,n2,F,u,1,4.0,,,,,,,,,,,,,,,,,,,,
14.22,82,c,K*y**4/(A**2*z**6),4,K,F,ulog,0.1,1000.0,y,F,ulog,1e-10,1e-8,A,F,u,1e-20,1e-19,z,I,u,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.31,83,P,(z*c2**2+2*c1*c2+z**2*c2**2)/(z*c2+2*c1)*k*NA*T,4,z,I,u,1.0,7.0,c1,F,ulog,0.01,10,c2,F,ulog,0.01,10.0,T,F,ulog,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,84,Wv,Wa+Wa*(0.0012/Do-0.0012/Dw),3,Wa,F,ulog,0.1,1000000.0,Do,F,u,0,10.0,Dw,F,u,7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.13,85,t,abs((x-u)*sqrt(Nn)/s),4,x,F,u,-100.0,100.0,u,F,u,-100,100.0,Nn,I,ulog,1,1000.0,s,F,ulog,0.01,1e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.14,86,t,abs((x1-x2)/s*sqrt(n1*n2/(n2+n1))),5,x1,F,u,-100.0,100.0,x2,F,u,-100,100.0,s,F,ulog,0.01,10000.0,n1,I,u,1,50.0,n2,I,u,1.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
3.23,87,m,(x1*y1+x2*y2-(x1+x2)*(y1+y2)/2)/((x1**2)+(x2**2)-((x1+x2)**2)/2),4,x1,F,u,-100.0,100.0,y1,F,u,-100,100.0,x2,F,u,-100,100.0,y2,F,u,-100,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.39,88,S,s/sqrt(n)*sqrt(1-n/Nn),3,s,F,u,-100.0,100.0,n,I,ulog,1,100.0,Nn,I,ulog,n,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,89,R,(s-y)/c,3,s,F,ulog,0.1,1000.0,y,F,ulog,0.1,1000.0,c,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,90,M,g/f,2,g,F,ulog,0.1,10000.0,f,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex5.8,91,x,L*w1*M/(1000*r*w2),5,L,F,ulog,0.1,10000.0,w1,F,ulog,0.01,10.0,M,F,ulog,0.01,10.0,r,F,ulog,0.1,10.0,w2,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5.27,92,M,m1*(t/a)*m2/L,5,m1,F,ulog,0.1,100000.0,t,F,ulog,0.01,10.0,a,F,ulog,0.01,10.0,m2,F,ulog,0.1,1e5,L,F,ulog,0.1,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,93,K,(C**c)*(D**d)/((A**a)*(B**b)),8,C,F,ulog,0.01,1000000.0,c,I,u,1,5.0,D,F,ulog,1e-2,1000000.0,d,I,u,1,5.0,A,F,ulog,0.01,1000000.0,a,I,u,1.0,5.0,B,F,ulog,0.01,1000000.0,b,I,u,1.0,5.0,,,,,,,,,,
ex6.1,94,K,(x**2)/((a-x)*(b-x)),3,x,F,ulog,0.01,1000000.0,a,F,ulog,1e-2,1e6,b,F,ulog,1e-2,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.20,95,f,exp(0.51*(z**2)*sqrt(u)/(1+sqrt(u))),2,z,I,u,1.0,7.0,u,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.21,96,f,0.51*(z**2)*(sqrt(u)/(1+sqrt(u))-0.3*sqrt(u)),2,z,I,u,1.0,7.0,u,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.7,97,K,a1*a2/(a3**2),3,a1,F,ulog,0.01,1000000.0,a2,F,ulog,1e-2,1e6,a3,F,ulog,1e-2,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.15,98,pH,-lg(H),1,H,F,ulog,1e-14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.32,99,OH,sqrt(Kw*C/Ka),3,Kw,F,ulog,1e-14,100000.0,C,F,ulog,0.01,10.0,Ka,F,ulog,1e-14,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.48,100,pH,pK+lg(A/H),3,pK,F,u,0.0,14.0,A,F,ulog,0.01,10.0,H,F,ulog,0.01,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.74,101,a,(H**3)/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,F,ulog,1e-14,1.0,k1,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,k3,F,ulog,1e-14,1e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.75,102,a,(H**2)*k1/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,F,ulog,1e-14,1.0,k1,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,k3,F,ulog,1e-14,1e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.76,103,a,H*k1*k2/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,F,ulog,1e-14,1.0,k1,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,k3,F,ulog,1e-14,1e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.77,104,a,k1*k2*k3/((H**3)+(H**2)*k1+k1*k2*H+k1*k2*k3),4,H,F,ulog,1e-14,1.0,k1,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,k3,F,ulog,1e-14,1e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82,105,Q,(H**4)+k1*(H**3)+k1*k2*(H**2)+k1*k2*k3*H+k1*k2*k3*k4,5,H,F,ulog,1e-14,1.0,k1,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,k3,F,ulog,1e-14,1e5,k4,F,ulog,1e-14,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
7.96,106,f,sqrt((k1*k+k1*k2*H)/(k1+H)),4,k1,F,ulog,1e-14,100000.0,k,F,ulog,1e-14,1e5,k2,F,ulog,1e-14,100000.0,H,F,ulog,0.01,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.107,107,pH,pK+lg((a2/a1-e1)/(e2-e3*(a2/a1))),6,pK,F,u,0.0,14.0,A2,F,u,0,1.0,A1,F,u,0,1.0,e1,F,ulog,0.1,100.0,e2,F,ulog,0.1,100.0,e3,F,ulog,0.1,100.0,,,,,,,,,,,,,,,,,,,,
