Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
p702,15,X,(f1*x1+f2*x2+f3*x3)/3,6,f1,0,1,x1,0,100,f2,0,1,x2,0,100,f3,0,1,x3,0,100,,,,,,,,,,,,
p702',16,X,(f1*((x1-x)**2)+f2*((x2-x)**2)+f3*((x3-x)**2))/2,7,f1,0,1,x1,0,100,x,0,100,f2,0,1,x2,0,100,f3,0,1,x3,0,100,,,,,,,,,
p703,17,SD,sqrt(V),1,V,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
p703',18,C,(f1*(x1-x)*(y1-y)+f2*(x2-x)*(y2-y))/2,8,f1,0,1,x1,0,100,x,0,100,y1,0,100,y,0,100,f2,0,1,x2,0,100,y2,0,100,,,,,,
p715,19,h,sqrt(Vg/Vt),2,Vg,0,100,Vt,Vg,100,,,,,,,,,,,,,,,,,,,,,,,,
p721,20,h,sqrt((x1-x)/(x2-x)),3,x1,0,100,x,0,100,x2,0,100,,,,,,,,,,,,,,,,,,,,,
p725,21,n,(D**2)/(8*V),2,D,0,100,V,0,,,,,,,,,,,,,,,,,,,,,,,,,
p105,22,f,(q**2)*(1-s)/(1-s*(q**2)),2,q,0,1,s,0,1,,,,,,,,,,,,,,,,,,,,,,,,
5.5,23,P,s*p*(q**2)/(1-s*(q**2)),3,s,0,1,p,0,1,q,0,1,,,,,,,,,,,,,,,,,,,,,
5.13,24,q,qm+(q0-qm)*((1-m)**5),3,qm,0,1,q0,qm,1,m,0,1,,,,,,,,,,,,,,,,,,,,,
6.2,25,F,0.5/Nn+(1-0.5/Nn)*f,2,Nn,0,100,f,0,1,,,,,,,,,,,,,,,,,,,,,,,,
6.5,26,F,((1-u)**2)/(2*Nn-(2*Nn-1)*((1-u)**2)),2,u,0,1,Nn,0,100,,,,,,,,,,,,,,,,,,,,,,,,
p201,27,A,p*q+(1-r)*D,4,p,0,1,q,0,1,r,0,1,D,0,1,,,,,,,,,,,,,,,,,,
p365,28,G,(H-h)/H,2,h,0,1,H,h,1,,,,,,,,,,,,,,,,,,,,,,,,
p404,29,I,(Hs-Ho)/(Hs+Ho),2,Hs,0,100,Ho,0,100,,,,,,,,,,,,,,,,,,,,,,,,
p448,30,n,(p**2)*((1-p)**3),1,p,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
p453,31,Nn,(2*x1-5)*(2*x2-5)*(2*x3-5)*(2*x4-5)*(2*x5-5),5,x1,3,100,x2,3,100,x3,3,100,x4,3,100,x5,3,100,,,,,,,,,,,,,,,
p528,32,t,1/lamda*ln(Nn/n),3,lamda,0,1,n,0,100,Nn,n,100,,,,,,,,,,,,,,,,,,,,,
p591,33,r,(ln(x2)-ln(x1))/t,3,t,0,1e9,x2,0,100,x1,0,100,,,,,,,,,,,,,,,,,,,,,
C1.1,34,Nn,n*exp(r*t),3,n,0,100,r,-1,0,t,0,1000,,,,,,,,,,,,,,,,,,,,,
1.1,35,d,r*Nn*(1-Nn/K),3,r,0,1,Nn,0,100,K,0,100,,,,,,,,,,,,,,,,,,,,,
1.5,36,Nn,n/(n/K+(1-n/K)*exp(-r*t)),4,n,0,100,K,0,100,r,0,1,t,0,1000,,,,,,,,,,,,,,,,,,
1.13,37,T,sqrt(a*b)*t,3,a,0,1000,b,0,1000,t,0,1e12,,,,,,,,,,,,,,,,,,,,,
2.2,38,F,((A**3)-((-B)**3))/sqrt(5),2,A,0,5,B,0,5,,,,,,,,,,,,,,,,,,,,,,,,
2.4,39,x,a0+1/(a1+1/(a2+1/a3)),4,a0,-1000,1000,a1,1,1000,a2,1,1000,a3,1,1000,,,,,,,,,,,,,,,,,,
2.20,40,l,exp(-d*a),2,d,0,1,a,0,100,,,,,,,,,,,,,,,,,,,,,,,,
2.26,41,r,m/B*ln(1+p/m),3,m,0,1,B,0,1000,p,0,1,,,,,,,,,,,,,,,,,,,,,
3.9',42,a,sqrt((1-exp(-b*t))/Nn),3,b,0,1,t,0,1000,Nn,0,1000,,,,,,,,,,,,,,,,,,,,,
3.24',43,f,n*(n-1)*0.5*(x**5),2,n,0,1000,x,0,1,,,,,,,,,,,,,,,,,,,,,,,,
3.31,44,a,1/Nn*(exp(2*b*t)-exp(b*t)),3,Nn,0,1,b,0,1,t,0,1000,,,,,,,,,,,,,,,,,,,,,
3.33,45,t,-ln(1-y)/(b*Nn),3,y,0,1,b,0,1,Nn,0,1000,,,,,,,,,,,,,,,,,,,,,
4.3,46,d,I*(B*Nn-y-B*I),4,I,0,1000,B,0,1,Nn,I,1000,y,0,10,,,,,,,,,,,,,,,,,,
4.9,47,f,R+exp(-R*r),2,R,0,1,r,0,10,,,,,,,,,,,,,,,,,,,,,,,,
5.5,48,P,(1+s)*p/(1+s*p),2,s,0,10,p,0,1,,,,,,,,,,,,,,,,,,,,,,,,
5.7,49,P,(p-p*u)/(1-s+s*p),3,p,0,1,u,0,1,s,0,1,,,,,,,,,,,,,,,,,,,,,
5.8,50,Q,(q-s*q-u*q+u)/(1-s*q),3,q,0,1,s,0,1,u,0,1,,,,,,,,,,,,,,,,,,,,,
5.10,51,P,((1+s*h)*p+s*(1-h)*(p**2))/(1+2*s*h*p+s*(1-2*h)*(p**2)),3,p,0,1,s,0,10,h,0,10,,,,,,,,,,,,,,,,,,,,,
5.12,52,d,s*p*(h+(1-3*h)*p-(1-2*h)*(p**2)),2,s,0,10,p,0,1,h,0,10,,,,,,,,,,,,,,,,,,,,,
5.14,53,Q,(u+(1-u-s*h*(1+u))*q-s*(1-h*(1+u))*(q**2))/(1-2*s*h*q-s*(1-2*h)*(q**2)),4,u,0,1,s,0,1,h,0,1,q,0,1,,,,,,,,,,,,,,,,,,
5.15,54,f,(s+t)*(p**3)-(s+2*t)*(p**2)+t*p,3,s,0,1,t,0,1,p,0,1,,,,,,,,,,,,,,,,,,,,,
5.21',55,P,(1-r)*p1+r*p2*p3,4,r,0,1,p1,0,1,p2,0,1,p3,0,1,,,,,,,,,,,,,,,,,,
5.22,56,p,((s1**2)+((1-s1)**2))*p1+s2*(1-s2)*p2+s3*(1-s3)*p3,6,s1,0,1,p1,0,1,s2,0,1,p2,0,1,s3,0,1,p3,0,1,,,,,,,,,,,,
5.27,57,V,x*(1-x)/Nn,2,x,0,1,Nn,0,1000,,,,,,,,,,,,,,,,,,,,,,,,
5.35',58,P,0.5*(1-exp(-t))*x+exp(-t),2,t,0,1000,x,0,1,,,,,,,,,,,,,,,,,,,,,,,,
6.3',59,C,R-0.5*k*(sqrt(1+4*R/k)-1),2,R,0,1000,k,0,1000,,,,,,,,,,,,,,,,,,,,,,,,
6.4',60,C,k1*e*s/(k0+k2+k1*s),5,k1,0,1,e,0,10,s,0,10,k0,0,1,k2,0,1,,,,,,,,,,,,,,,
6.19',61,d,k1*e*s+(k0+k2+k1*s)*C1+(k_+k4)*C2,9,k1,0,1,e,0,10,s,0,10,k0,0,1,k2,0,1,C1,0,10,k_,0,1,k4,0,1,C2,0,10,,,
6.25,62,C,k2*e*s/(k1*k2+k2*s+(s**2)),4,k2,0,1000,e,0,10,s,0,10,k1,0,1000,,,,,,,,,,,,,,,,,,
6.26,63,C,e*(s**2)/(k1*k2+k2*s+(s**2)),4,e,0,10,s,0,10,k1,0,1000,k2,0,1000,,,,,,,,,,,,,,,,,,
p98,64,d,V*(s**4)/((K**4)+(s**4)),3,V,0,10,s,0,10,K,0,1000,,,,,,,,,,,,,,,,,,,,,
