,Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
31,p528,31,t,1/lamda*ln(n+Nn/n),3,lamda,F,u,0.0,1.0,n,I,ulog,1,1000.0,Nn,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,p591,32,r,(ln(x2)-ln(x1))/t,3,t,F,ulog,0.01,10.0,x2,F,ulog,1e-2,100.0,x1,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,C1.1,33,Nn,n*exp(r*t),3,n,I,ulog,1.0,100.0,r,NF,u,-1,0.0,t,F,ulog,1e-2,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.1,34,d,r*Nn*(1-Nn/K),3,r,F,u,0.0,1.0,Nn,F,ulog,1e-2,100.0,K,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.5,35,Nn,n/(n/K+(1-n/K)*exp(-r*t)),4,n,F,ulog,0.01,100.0,K,F,ulog,1e-2,100.0,r,F,u,0,1.0,t,F,ulog,0.01,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.13,36,T,sqrt(a*b)*t,3,a,F,u,0.0,1.0,b,F,u,0,1.0,t,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2.2,37,F,((A**3)-((-B)**3))/sqrt(5),2,A,F,u,0.0,5.0,B,F,u,0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2.2a,38,F,((1.61803**n)-((-0.61803)**n))/sqrt(5),1,n,I,ulog,1.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2.4,39,x,a0+1/(a1+1/(a2+1/a3)),4,a0,AI,u,-1000.0,1000.0,a1,I,ulog,1,1000.0,a2,I,ulog,1,1000.0,a3,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2.20,40,l,exp(-d*a),2,d,F,u,0.0,1.0,a,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.26,41,r,m/B*ln(1+p/m),3,m,F,u,0.0,1.0,B,I,ulog,1,1000.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3.9',42,a,sqrt((1-exp(-b*t))/Nn),3,b,F,u,0.0,1.0,t,F,ulog,1,1000.0,Nn,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3.31,43,a,1/Nn*(exp(2*b*t)-exp(b*t)),3,Nn,F,u,0.0,1.0,b,F,u,0,1.0,t,F,ulog,1e-2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3.33,44,t,-ln(1-y)/(b*Nn),3,y,F,u,0.0,1.0,b,F,u,0,1.0,Nn,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4.3,45,d,i*(B*Nn-y-B*i),4,i,I,ulog,1.0,1000.0,B,F,u,0,0.001,Nn,I,ulog,i,1000.0,y,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.9,46,f,R+exp(-R*r),2,R,F,u,0.0,1.0,r,F,ulog,1e-1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5.5,47,P,(1+s)*p/(1+s*p),2,s,F,ulog,0.1,10.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5.7,48,P,(p-p*u)/(1-s+s*p),3,p,F,u,0.0,1.0,u,F,u,0,1.0,s,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5.10,49,P,((1+s*h)*p+s*(1-h)*(p**2))/(1+2*s*h*p+s*(1-2*h)*(p**2)),3,p,F,u,0.0,1.0,s,F,ulog,0.1,10.0,h,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5.12,50,d,s*p*(h+(1-3*h)*p-(1-2*h)*(p**2)),3,s,F,ulog,0.1,10.0,p,F,u,0,1.0,h,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5.14,51,Q,(u+(1-u-s*h*(1+u))*q-s*(1-h*(1+u))*(q**2))/(1-2*s*h*q-s*(1-2*h)*(q**2)),4,u,F,u,0.0,1.0,s,F,u,0,1.0,h,F,u,0,1.0,q,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5.15,52,f,(s+t)*(p**3)-(s+2*t)*(p**2)+t*p,3,s,F,u,0.0,1.0,t,F,u,0,1.0,p,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5.22,53,p,((s1**2)+((1-s1)**2))*p1+s2*(1-s2)*p2+s3*(1-s3)*p3,6,s1,F,u,0.0,1.0,p1,F,u,0,1.0,s2,F,u,0,1.0,p2,F,u,0.0,1.0,s3,F,u,0.0,1.0,p3,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,
57,5.27,54,V,x*(1-x)/Nn,2,x,F,u,0.0,1.0,Nn,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5.35',55,P,0.5*(1-exp(-t))*x+exp(-t),2,t,F,ulog,1.0,1000.0,x,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6.3',56,C,R-0.5*k*(sqrt(1+4*R/k)-1),2,R,F,ulog,1.0,1000.0,k,F,u,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6.4',57,C,k1*e*s/(k0+k2+k1*s),5,k1,F,u,0.0,1.0,e,F,u,0.1,10.0,s,F,ulog,0.1,10.0,k0,F,u,0.0,1.0,k2,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,6.19',58,d,k1*e*s+(k0+k2+k1*s)*C1+(k_+k4)*C2,9,k1,F,u,0.0,1.0,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k0,F,u,0.0,1.0,k2,F,u,0.0,1.0,C1,F,ulog,0.1,10.0,k_,F,u,0.0,1.0,k4,F,u,0.0,1.0,C2,F,ulog,0.1,10.0,,,,,
62,6.25,59,C,k2*e*s/(k1*k2+k2*s+(s**2)),4,k2,F,ulog,1.0,1000.0,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k1,F,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6.26,60,C,e*(s**2)/(k1*k2+k2*s+(s**2)),4,e,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,k1,F,ulog,1,1000.0,k2,F,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,p98,61,d,V*(s**4)/((K**4)+(s**4)),3,V,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,K,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,p98a,62,d,V*(s**n)/((K**n)+(s**n)),4,V,F,ulog,0.1,10.0,s,F,ulog,0.1,10.0,K,F,ulog,0.1,10.0,n,I,ulog,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
